Citigroup,Citigroup,Organization,Citigroup is a diversified financial services holding company that provides various financial products and services.,1812-01-01,7,,,0,9,
citigroup,Citigroup,Organization,Citigroup is a diversified financial services holding company that provides various financial products and services.,1812-01-01,7,,,0,9,
CitiusTech,CitiusTech,Organization,CitiusTech is a leading healthcare technology services and solutions provider, partnering with over 50 leading healthcare organizations,2005-01-01,4,,,0,0,
CJ,CJ,Organization,CJ,,,,,0,1,
Claritas,Claritas,Organization,market research company,1971-01-01,4,,,0,0,
CLICK,Click,Organization,institutional cybercoffees network,2012-06-14,7,,,0,0,1
Click,Click,Organization,institutional cybercoffees network,2012-06-14,7,,,0,0,1
Click2Connect,Click2Connect,Organization,Click2connect.com offers a local search merger with the social graph. This combination gives rise to local social search, a whole new way,2008-09-01,7,10,1,0,0,5
Clickmarks,Clickmarks,Organization,,,,,,0,0,
clickTRUE,clickTRUE,Organization,Online Performance Marketing Agency,2010-12-01,7,50,11,0,0,50
Closely,Closely,Organization,Closely provides social and mobile marketing tools for small, local merchants to promote their businesses.,2009-10-01,6,,,6998845,0,12
CloudFX,CloudFX,Organization,CloudFX is a strategic Virtualization and Cloud solutions firm, transforming businesses through the promise of technology.,2009-01-01,4,,,0,0,
CMC,CMC,Organization,,,,,,0,1,
CMS,CMS,Organization,CMS is a mobile apps designing company. They have designed iThoughts (mindmapping,,,,,0,0,
Cms,CMS,Organization,CMS is a mobile apps designing company. They have designed iThoughts (mindmapping,,,,,0,0,
CNBC,CNBC,Organization,CNBC is the recognized world leader in business news.,1989-04-17,7,,,0,0,
CNS,CNS,Organization,CNS engages in the development and marketing of consumer health care products.,1982-01-01,4,,,0,0,58
Code,Code,Organization,Text securely with your existing number,2014-04-01,6,,,0,0,
Codebox,CodeBox,Organization,software house,2005-07-01,7,,,0,0,4
Codegen,Codegen,Organization,CodeGen is a private limited company and has offices in London, United Kingdom and Colombo, Sri Lanka.,,,,,0,0,
Codemasters,Codemasters,Organization,Codemasters is a developer and publisher of interactive entertainment products for a global audience across multiple gaming platforms and,1986-01-01,4,None,None,0,0,
Cofely,Cofely,Organization,Cofely became the new name for Axima and Axima Refrigeration in Germany in November 2009. Cofely is Europe's leading brand for the,,,,,0,0,
Coffee,Coffee,Organization,Tinder meets LinkedIn for the working professional,2014-01-01,7,,,0,0,
Cofounders,Cofounders,Organization,A collective of designers and developers that help build startups for fun and profit.,2012-05-22,7,None,None,0,0,
Cognos,Cognos,Organization,Cognos provides business intelligence and performance management software solutions for organizations.,1969-01-01,4,,,0,0,
COGNOS,Cognos,Organization,Cognos provides business intelligence and performance management software solutions for organizations.,1969-01-01,4,,,0,0,
COI,COI,Organization,A fully-equipped R&D infrastructure and industry mentors prepared to leverage their expertise to help entrepreneurial scientists succeed.,,,,,0,0,
Collabera,Collabera,Organization,Collabera is an end-to-end information technology services and solutions provider helping clients align their business and IT strategies.,1991-01-01,4,,,30000000,0,
Collaborne,Collaborne,Organization,Collaborne is a digital business platform that informs and engages people in personalized work streams created from your enterprise data.,2013-10-01,7,50,11,1000000,0,
CommerceNet,CommerceNet,Organization,At CommerceNet, they harness the power of the Internet to transform existing processesmaking them better, faster, and more efficient.,1994-01-01,4,,,0,5,
Commerzbank,Commerzbank,Organization,Commerzbank was founded in 1870,1870-01-01,4,,,0,3,
Community,/community,Organization,/community enables start-ups & software companies to team up with their community and speed up growth.,2008-01-01,4,,,0,0,
Company,Company,Organization,COMPANY is an online and offline social network connecting collectors of contemporary art.,,,,,1600000,0,
company,Company,Organization,COMPANY is an online and offline social network connecting collectors of contemporary art.,,,,,1600000,0,
Compaq,Compaq,Organization,Personal Computers,,,,,0,1,
CompareXpress,CompareXpress,Organization,CompareXpress makes it easier to shop for the right insurance. It's a one-stop online shopping centre that lets you compare and choose the,,,,,0,0,
Compass,Compass,Organization,benchmark company,1980-01-01,4,,,3000000,2,
Complinet,Complinet,Organization,Complinet provides risk and compliance solutions for the financial services industry.,1996-01-01,4,,,0,0,
CompuServe,CompuServe,Organization,CompuServe Interactive Services provides complete and comprehensive products and access for Internet online users at home, in the workplace,,,,,0,0,
Computex,Computex,Organization,Computex is an IT company helping businesses manage and maintain their IT assets.,,,,,0,0,
Compuware,Compuware,Organization,Compuware provides enterprise software and IT services for IT portfolio management, application development, and quality assurance.,1973-01-01,4,5000,1001,0,1,4000
Comviva,Comviva,Organization,Comviva provides integrated VAS solutions for mobile operators in emerging markets.,,,,,13500000,0,
Concur,Concur,Organization,Concur is a leading global provider of integrated travel and expense management solutions.,1993-01-01,4,None,None,0,4,
Conergy,Conergy,Organization,Swiss Solar company,,,,,0,0,
CONFIDENTIAL,Confidential,Organization,CSS is a certified women owned Texas based small business enterprise by the National Minority Supplier Development Council (NMSDC) and,,,,,0,1,
Confidential,Confidential,Organization,CSS is a certified women owned Texas based small business enterprise by the National Minority Supplier Development Council (NMSDC) and,,,,,0,1,
Conjunct,Conjunct,Organization,Conjunct designs, develops, and produces technology for high-speed optical communications.,2004-01-01,4,,,934850,0,
Connect,CONNECT,Organization,CONNECT is a non-profit organisation helping start-up companies.,2001-01-01,4,,,0,0,
Conqwest,ConQwest,Organization,,,,,,0,0,
Consilium,Consilium,Organization,Founded in 2005 by Antonio Glorioso and Stefano Iamoni, previously in charge of private equity at Kairos Partners, Consilium is an,2005-01-01,4,,,0,0,
Construct,Construct,Organization,Construct offers a platform that enables construction teams to upload project information, and communicate and interact with each other.,,,10,1,36000,0,
Consultant,Consultant,Organization,,,,,,0,0,
Contactpoint,ContactPoint,Organization,ContactPoint provides content analytics software, enabling marketers to gather intelligence from customer phone conversations.,2001-01-01,4,,,4250000,0,30
Control,Control,Organization,Management Platform for the Payments Industry,2014-05-05,7,10,1,0,0,
Convergent,Convergent,Organization,Contact management services that help to lower cost, manage uneven call volumes, deal with specific call types,,,,,0,0,
Convergys,Convergys,Organization,relationship management solutions,1998-01-01,4,,,0,0,75000
CONVERGYS,Convergys,Organization,relationship management solutions,1998-01-01,4,,,0,0,75000
Conversant,Conversant,Organization,Conversant, Inc. (Nasdaq: CNVR) is the leader in personalized digital marketing. Combining the strengths of ValueClick Media & Commission,1998-01-01,4,None,None,0,0,
Core,CORE,Organization,Powering Global Commerce,1996-01-01,4,250,101,0,0,150
Corel,Corel,Organization,Corel is a Canadian company that develops and delivers graphics, productivity, and digital media software.,1985-01-01,4,None,None,0,0,
Corizon,Corizon,Organization,Corizon is a software company that develops enterprise mashup technology deployed on a large scale to deliver demonstrable ROI.,,,,,0,0,
Cornice,Cornice,Organization,Cornice provides storage elements for consumer electronics including mobile phones, MP3 players, personal video recorders and more.,2000-08-21,7,,,148000000,0,
Corning,Corning,Organization,Glass Manufacturing Company,1851-01-01,4,,,0,2,
Corous360,Corous360,Organization,Corous360 is the leading independent games cloud service provider in Southeast Asia and offers an integrated suite of end-to-end services,,,,,0,0,
Corventis,Corventis,Organization,Corventis is committed to improving clinical outcomes and lowering healthcare costs by enabling the early detection of cardiovascular,,,,,10000006,0,
Corvil,Corvil,Organization,Corvil provides monitoring and risk mitigation solutions for IT industry.,2000-01-01,4,250,101,31480000,0,100
COSA,CoSA,Organization,Developers of After Effects - Special Effects and Compositing Software,,,,,0,0,
COSMO,Cosmo,Organization,Since 2000, the Cosmo team has been partnering with visionary founders who create new markets.,2000-04-29,7,,,0,1,
Coty,Coty,Organization,Coty Inc., a New York, NY-based beauty company with portfolios in fragrance, color cosmetics and skin care.,,,,,0,0,
Covance,Covance,Organization,Drug Development Services,1987-01-01,7,,,0,0,
Covansys,Covansys,Organization,,,,,,0,0,
covansys,Covansys,Organization,,,,,,0,0,
Covanta,Covanta,Organization,Covanta Holding Corporation (Covanta) is a holding company.,,,,,0,0,
Covergence,Covergence,Organization,,,,,,0,0,
Covidien,Covidien,Organization,Global Healthcare Products Leader,2007-01-01,4,1000000,10001,0,1,
CozyCot,CozyCot,Organization,Online community,,,,,0,0,
CPI,CPI,Organization,,,,,,0,0,
Crayon,crayon,Organization,Social Media consultancy,,,,,0,0,
Cre8,cre8,Organization,cre8 was added to CrunchBase in 2009,,,,,0,0,
Creative,Creative,Organization,Creative Technology designs, manufactures, and distributes digital entertainment products worldwide.,1981-01-01,4,None,None,0,0,
Credit-Suisse,Credit Suisse,Organization,Multinational financial services company,1856-07-05,7,,,0,43,
CRH,CRH,Organization,Diversified Building Materials,,,,,0,0,
Crimson,Crimson,Organization,Data, analytics for healthcare,1979-01-01,4,,,0,0,
CRISP,CRISP^YHKG,Organization,We build brand equity. CRISP is composed of a team of strategists, producers and designers who help companies build up their brands.,2008-04-01,6,50,11,25000,0,
Crocodile,Crocodile,Organization,Web Real-Time Communications,2010-09-01,6,50,11,0,0,12
Crossroad,Crossroad,Organization,The app to finally gather your group pictures after any event.,2014-01-02,7,None,None,0,0,
Crown,Crown,Organization,eBusiness Consulting Agency,2001-01-01,4,250,101,0,0,150
CS,CS,Organization,,,,,,0,0,
cs,CS,Organization,,,,,,0,0,
CSC,CSC,Organization,CSC is an IT services company providing technology-enabled business solutions and services.,1959-01-01,4,1000000,10001,0,0,90000
CSE,CSE,Organization,CSE,,,,,0,0,
CSG,CSG,Organization,,,,,,0,0,
CSI,CSI,Organization,Compressor Systems, Inc. also operates Rotary Compressor Systems, Inc. and Pump Systems International.,1971-01-01,4,,,0,0,
CSIRO,CSIRO,Organization,The Commonwealth Scientific and Industrial Research Organisation is the federal government agency for scientific research in Australia.,,,None,None,0,0,
CSM,CSM,Organization,,,,,,0,2,
CSS,CSS Corp,Organization,CSS Corp. is an ICT services company helping organizations virtualize their IT assets and applications.,1996-01-01,4,5000,1001,47000000,0,5000
CTO,CTO,Organization,,,,,,0,0,
CTS,CTS,Organization,HPLC,HPLC Replacement Parts,1985-01-01,4,,,0,0,
Cubic,Cubic,Organization,Transporting people with motocycles,,,10,1,0,0,
Cummins,Cummins,Organization,Global power leader,1919-01-01,4,,,0,1,
CureMD,CureMD,Organization,CureMD is the leading provider of innovative health information systems and services that transform the administrative.,,,None,None,0,0,
Currently,Currently,Organization,Currently is a social network that connects people who are interested in outdoor activities.,2012-01-01,6,10,1,140000,0,4
Customedia,Customedia,Organization,Dedicated to implement internet projects,2008-11-01,7,,,0,0,
CV,CV,Organization,Cv indir,,,,,0,0,
Cybage,Cybage,Organization,Cybage is a leading name in the global IT industry with a proven track record of over 16 years.,,,,,0,0,
Cybercity,CyberCity,Organization,Platform that enables induviduals and markets from alternative lifestyles to form their online identity and reach target audience.,2014-07-01,7,10,1,0,0,4
Cybercom,Cybercom,Organization,,,,,,0,0,
Cybermedia,CyberMedia,Organization,CyberMedia was added to CrunchBase in 2013,,,,,0,0,
CyberOptics,CyberOptics,Organization,CyberOptics has provided industry leading process control sensors and inspection systems, primarily focused in the electronics assembly,1984-01-01,4,,,0,0,
Cycle,Cycle,Organization,A better browser,2013-01-01,4,,,0,0,
Cylon,CyLon,Organization,CyLon (Cyber London) is Europes first cyber-security accelerator, headquartered in London.,2015-01-01,4,None,None,0,0,
Cypress,Cypress,Organization,,,,,,0,0,
Cytech,Cytech Mobile,Organization,Cytech Mobile is an established solutions provider with an international client base and over 10 years of experience in mobile.,2001-11-17,7,10,1,0,0,10
D-Link,D-Link,Organization,Founded in 1986, D-Link is a global leader in the design, manufacture and marketing of advanced networking, broadband, digital, voice and,1986-01-01,4,,,0,0,
D-link,D-Link,Organization,Founded in 1986, D-Link is a global leader in the design, manufacture and marketing of advanced networking, broadband, digital, voice and,1986-01-01,4,,,0,0,
DAC,DAC,Organization,,,,,,0,0,
Daikin,Daikin,Organization,Daikin Industries, Ltd. is a global leader in the market of commercial and industrial use air conditioning systems, with more than 40% of,1924-10-25,7,,,0,0,
Daimler,Daimler,Organization,automotive company,,,,,0,6,
DAIMLER,Daimler,Organization,automotive company,,,,,0,6,
DAMOVO,Damovo,Organization,Damovo was added to CrunchBase in 2013,,,,,0,0,
Danfoss,Danfoss,Organization,,,,,,0,0,
Danone,Danone,Organization,Bringing health through food.,1919-01-01,7,,,0,1,
Dassault,Dassault Systemes,Organization,Dassault Systemes provides project lifecycle management solutions that enable businesses to create and share experiences in 3D.,1981-01-01,4,1000000,10001,0,5,9800
Data,Data,Organization,Data is an Android web browser app which allows you to search with voice and voice only,2013-12-15,7,,,0,0,
data,Data,Organization,Data is an Android web browser app which allows you to search with voice and voice only,2013-12-15,7,,,0,0,
Datacare,DataCare,Organization,,,,,,0,0,
Datacom,Datacom,Organization,Datacom is one of Australasias largest professional IT services companies.,,,None,None,0,0,
DataSphere,DataSphere,Organization,DataSphere is a hyperlocal marketing company offering turnkey technology, content and sales solutions for large media companies.,2006-01-01,4,,,28805381,0,
Datasphere,DataSphere,Organization,DataSphere is a hyperlocal marketing company offering turnkey technology, content and sales solutions for large media companies.,2006-01-01,4,,,28805381,0,
Dawn,DAWN,Organization,Dawn News is one of Pakistan's 24-hour Urdu news channel based in Karachi.,1941-01-01,4,None,None,0,0,
DC,DC &,Organization,DC & Co.is a mobile application and games designer and has designed an app exclusively for iOS users iSilo.,,,,,0,0,
DCM,DCM,Organization,DCM is an early stage VC empowering the global ambitions of inspired entrepreneurs,1996-01-01,4,,,0,226,
DDB,DDB,Organization,,,,,,0,0,
DDE,DDE,Organization,,,,,,0,0,
De,DE,Organization,,,,,,0,0,
Dealguru,Dealguru,Organization,Dealguru Holdings Pte Ltd was founded in early May 2010 and is the largest independent ecommerce group in Southeast Asia, with over 250,2010-01-01,4,,,0,1,
DEC,DEC,Organization,Digital Equipment Corporation (DEC) is the developer of minicomputers for use in laboratories and research institutions.,,,,,0,0,
DECATHLON,Decathlon,Organization,,,,,,0,0,
Dell,Dell,Organization,Dell is a multinational technology company that develops, sells, repairs and supports computers and related products and services.,1984-01-01,4,1000000,10001,0,4,80000
DELL,Dell,Organization,Dell is a multinational technology company that develops, sells, repairs and supports computers and related products and services.,1984-01-01,4,1000000,10001,0,4,80000
Deloitte,Deloitte,Organization,Deloitte provides audit, consulting, financial advisory, risk management and tax services for clients.,1900-01-01,7,1000,501,0,1,1000
Delphi,Delphi,Organization,Delphi is a supplier of electronics and technologies for automotive, commercial vehicle and other market segments.,2009-01-01,4,,,8000000,0,
Delta,Delta,Organization,,,,,,0,0,
Deluxe,Deluxe Corp,Organization,Deluxe Corp provides services that help small businesses and financial institutions acquire and retain customers.,1915-01-01,4,,,0,0,
Demand,Demand,Organization,,,,,,0,0,
Destiny,Destiny,Organization,2014-2015,,,,,0,0,
Dextrys,Dextrys,Organization,Dextrys is a provider of software engineering and application services.,1987-01-01,4,,,48000000,0,
DG,DG,Organization,DG connects over 11,000 global advertisers and agencies with their targeted audiences through an expansive network of over 6,000 television,1991-01-01,4,,,0,0,
DGE,DGE,Organization,Electrical engineering design,1984-01-01,4,,,0,0,
DHL,DHL,Organization,DHL is a division of the German logistics company Deutsche Post DHL that provides international express mail services.,1969-01-01,4,10,1,0,0,
Dhruva,Dhruva,Organization,Dhruva is Indias leading game developer, providing game development and art production services to the global games industry.,1997-01-01,4,None,None,0,0,
Diageo,Diageo,Organization,Diageo is the world's leading premium drinks business with an outstanding collection of beverage alcohol brands across spirits, beer and,,,,,0,0,
Diagonal,Diagonal,Organization,Diagonal is a mobile application developer.It develops refrence category application for the both andriod and ios users.Dixel mobiles is,,,,,0,0,
Dialogic,Dialogic,Organization,Dialogic provides communication products and technologies to wireless and wireline service providers.,,,,,43019869,0,
Diebold,Diebold,Organization,Security and Financial Self-Service,1859-01-01,4,,,0,1,16000
Digi,digi,Organization,iPad browser,2012-11-01,6,,,0,0,
Digicel,Digicel,Organization,After 11 years of operation, Digicel Group Limited has over 13 million customers across its 31 markets in the Caribbean, Central America,,,,,0,7,2617
Digigram,Digigram,Organization,digital audio network devices,1985-01-01,4,,,0,0,
DigitalBridge,DigitalBridge,Organization,DigitalBridge is a computer vision platform that allows customers to visualise home decorations in their own room,2012-02-06,7,,,0,0,
Digitel,Digitel,Organization,wireless broadband integrators,,,,,0,0,
Digiterre,Digiterre,Organization,,,,,,0,0,
Dimension,Dimension X Technologies,Organization,Web hosting and design,2000-08-10,7,,,0,0,
DirectI,Directi,Organization,Directi develops innovative mass-market web products serving global customers.,1998-01-01,4,,,0,0,950
Directi,Directi,Organization,Directi develops innovative mass-market web products serving global customers.,1998-01-01,4,,,0,0,950
Dishnet,Dishnet,Organization,,,,,,0,0,
DISYS,Disys,Organization,DISYS is an ISO 9001:2008 certified IT staffing Company,,,,,0,0,
divine,Divine,Organization,Divine Property Management provides personalized solutions for the unmet needs of the real estate and property management industries.,,,,,0,0,
DNA,DNA,Organization,,,,,,0,0,
Dodo,dodo,Organization,,,,,,0,0,
Dolphin,Dolphin,Organization,Dolphin is a personalized mobile browser created and optimized for Android and iOS mobile phone and tablet users.,2009-01-01,4,None,None,0,0,
Doodle,Doodle,Organization,Doodle is an online event scheduling tool for planning and allocating time for events such as meetings, dinners, and reunions.,2007-03-01,6,,,0,0,10
Dot,dot,Organization,Period tracking & prediction,2014-01-01,6,10,1,0,0,
Double,Double,Organization,Double - Double Dating App,2014-03-01,7,,,0,0,3
DoubleClick,DoubleClick,Organization,DoubleClick, a subsidiary of Google, develops and provides internet ad serving services.,1995-01-01,7,5000,1001,0,0,
Dough,dough,Organization,dough is an investing platform for individual traders looking to manage their own finances.,2013-01-01,4,,,29000000,0,
DP,DP,Organization,Pro photography and video services,2007-01-01,7,,,0,0,1
dp,DP,Organization,Pro photography and video services,2007-01-01,7,,,0,0,1
DPSI,DPSI,Organization,Managing financial regulatory and communication documents is complicated.,2014-01-26,7,,,0,0,27
Draft,Draft,Organization,Word Processing,,,,,0,0,
Dreamware,Dreamware,Organization,DreamWare specializes in software that automates the listing process for a variety of industries.,2012-01-01,4,,,0,0,
Dropmysite,Dropmysite,Organization,Dropmysite automatically backs up website data, source code, email and databases in the cloud.,2011-08-01,7,,,0,0,10
DSM,DSM,Organization,DSM is a global science-based company active in health, nutrition and materials. By connecting its unique competences in Life Sciences.,1902-01-01,4,1000000,10001,0,0,
DTS,DTS,Organization,DTS (NASDAQ:DTSI) is dedicated to making digital entertainment exciting, engaging and effortless by providing state-of-the-art audio,,,,,0,0,
DTZ,DTZ,Organization,A global leader in property services.,,,,,0,0,
DUO,Duo,Organization,Duo was founded in 1996,1996-01-01,4,,,0,0,
Duo,Duo,Organization,Duo was founded in 1996,1996-01-01,4,,,0,0,
DuPont,DuPont,Organization,DuPont offers sustainable solutions for agriculture, electronics, communications, construction, transportation and apparel markets.,1802-07-19,7,,,9000000,0,
DW,DW,Organization,DW is a German provider of radio and television broadcasting services in Germany and internationally.,,,None,None,0,0,
Dynamic,Dynamic,Organization,Dynamic is a Vietnamese technology enterprise that develops research applications.,2009-01-01,4,None,None,0,0,
E,Cardcloud,Organization,Cardcloud is an online business card that can be used on and shared via any phone with an internet connection.,2010-01-01,7,10,1,0,0,6
E-volution,E-Volution,Organization,E-Volution was added to CrunchBase in 2011,,,,,0,0,
E9,E9,Organization,E9 is a specialist website development company based in Tauranga & Hamilton.,2008-01-01,7,None,None,0,0,
earth,Earth,Organization,,,,,,0,0,
Earth,Earth,Organization,,,,,,0,0,
Eastwood,Eastwood,Organization,Eastwood is a Melbourne (Australia) based company that specialises in the production of iPhone and iPad apps.,2013-02-15,7,,,0,0,
Easy,EASY,Organization,Easy inc is a mobile app developer company and developed apps like european war 2 lit,2009-01-01,4,,,0,0,
Eaton,EATON,Organization,EATON is a diversified power management company for electrical, hydraulic, and mechanical applications.,1911-01-01,4,,,2400000,0,
eBaoTech,eBaoTech,Organization,eBaoTech provides actionable and cost-effective technology solutions for insurance companies worldwide.,2000-01-01,4,,,36000000,0,
eBay,eBay,Organization,eBay, an online auction and e-commerce marketplace, enables people and businesses to buy and sell a wide variety of goods and services.,1995-09-01,7,1000000,10001,6700000,27,15000
Ebix,Ebix,Organization,Ebix, Inc., together with its subsidiaries, provides software and e-commerce solutions for the insurance industry primarily in North,1976-01-01,4,,,25000000,0,637
EBS,Electronic Business Systems (EBS),Organization,Electronic Business Systems (EBS) was founded in 1980 when business technology and software was in its infancy and most small businesses,1980-01-01,4,None,None,0,0,
EC,EC Development,Organization,EC Development designs and develops casino gaming management software systems.,2005-01-01,4,,,0,0,
Ecetera,Ecetera,Organization,A company dedicated to riding the world of poorly performing web applications,2005-02-18,7,,,0,0,
Eclipse,Eclipse,Organization,,,,,,0,0,
ECnet,ECNet,Organization,,,,,,0,0,
ECNet,ECNet,Organization,,,,,,0,0,
ECOLAB,Ecolab,Organization,Food safety,,,,,0,0,
Ecole,Ecole,Organization,Menswear essentials,,,None,None,0,0,
Ecrio,Ecrio,Organization,Ecrio develops a framework to upgrade common applications into communication-rich applications for multiple operating systems and phones.,,,,,27000000,0,
ECSoft,ECsoft,Organization,,,,,,0,0,
EDF,EDF,Organization,One of the worlds leading electric utilities, for the electricity.,1946-04-08,7,1000000,10001,0,0,
EDS,EDS,Organization,EDS is a technology services company providing information technology and business process outsourcing services.,,,,,0,1,
Edu,NEO LMS,Organization,NEO is a simple, powerful cloud-hosted LMS for schools and universities that makes it easy to deliver online education,2006-08-01,7,50,11,0,0,15
Edwin,Edwin,Organization,Edwin are smart toy designed around app technology.,2013-01-01,4,None,None,0,0,
EFI,EFI,Organization,EFI provides business process automation solutions, color digital front ends, and digital inkjet printers.,,,,,0,0,
eFunds,eFunds,Organization,,,,,,0,0,
eFusion,eFUSION,Organization,eFUSION Co,,,,,0,0,
Efusion,eFUSION,Organization,eFUSION Co,,,,,0,0,
eGames,eGames,Organization,eGames is a publisher, developer, and distributor of casual personal computer games.,,,,,900000,0,
eGrabber,eGrabber,Organization,eGrabber is a developer of automated lead generation solutions for recruiters, and sales and marketing professionals.,1999-01-01,4,,,0,0,150
eHUB,eHub,Organization,The eHub Is the best full commerce solution for online sales of your company.,,,None,None,0,0,
EI,EI,Organization,,,,,,0,1,
Elasitas,Elasitas,Organization,The company was started back in the year 2002 as an Internet and Multimedia developer company.,2002-01-01,4,None,None,0,0,
Electrabel,Electrabel,Organization,Electrabel is a limited company whose headquarters office is located in Brussels, Belgium. It is part of GDF SUEZ, a world leader in energy,,,,,0,0,
Electrolux,Electrolux,Organization,,,,,,0,0,
Elektrobit,Elektrobit,Organization,Elektrobit Wireless offers products, product platforms and services for defense, public safety, industrial, wireless communications.,,,None,None,0,0,
Element,Element 8,Organization,Early-stage investment group,2006-01-01,4,,,0,5,
element14,Element14,Organization,Element14 is an online web-based community that provides end-to-end electronic engineering solutions.,2009-04-01,6,None,None,0,0,
Elite,ELITE,Organization,Formation Continue Gnie,,,,,0,0,
Elsevier,Elsevier,Organization,Elsevier is a global publisher of scientific, technical and medical information products and services.,1880-01-01,4,,,0,0,
Eltek,Eltek,Organization,Eltek Ltd., together with its subsidiaries, develops, manufactures, markets, and sells printed circuit boards (PCBs), including high,,,,,0,0,
EMC,EMC,Organization,EMC manufactures information management and storage software systems.,1984-01-01,4,5000,1001,0,10,
Emc,EMC,Organization,EMC manufactures information management and storage software systems.,1984-01-01,4,5000,1001,0,10,
EMC2,EMC2,Organization,EMC2 (EMC-squared), stands for Excellence in Media Computing and Communication. It is a not-for-profit European Competence Centre founded,2010-01-01,4,,,0,0,
EMEA,EMEA,Organization,EuroniXa operates a Social Marketplace, which is a public and private opportunities & deals platform with social recommendations,,,,,,0,0,
Emerald,Emerald,Organization,This is the first of its kind population-wide melanoma screening. We use aerial defense technology to save 420 mil. people from skin cancer.,,,,,0,0,2
Emirates,Emirates,Organization,Emirates is one of two flag carriers of the United Arab Emirates along with Etihad Airways and is based in Dubai.,1985-01-01,4,,,0,0,
Emptoris,Emptoris,Organization,Emptoris delivers strategic supply and contract management solutions for companies to optimize financial performance and commercial risk.,1999-01-01,4,,,0,0,
Emuzed,Emuzed,Organization,Emuzed develops and sells multimedia hardware and software, systems, and semiconductor products and technologies for PC and embedded,1999-01-01,4,,,0,0,
Enablon,Enablon,Organization,Enablon is a provider of sustainability management and quality, environmental health and safety (QEHS) software solutions.,2000-01-01,4,,,15000000,0,
Encentuate,Encentuate,Organization,Encentuate provides identity and access management solutions without requiring enterprises to change their existing IT infrastructure.,2001-01-01,4,,,16000000,0,
Encompass,Encompass,Organization,Encompass was added to CrunchBase in 2008,,,,,0,0,
Encore,Encore Alert,Organization,Actionable social insights,2013-08-01,6,10,1,390000,0,
Endeavor,Endeavor,Organization,Endeavor is the only non-profit that supports high-impact entrepreneurs around the world.,1997-01-01,4,,,0,3,
Energizer,Energizer,Organization,Portable Batteries,2000-04-01,6,,,0,1,
Energy,Energy,Organization,Energy is a manufacturer of The Energy Detective, a real-time in-home energy management system.,2001-01-01,4,,,2000000,0,
ENFINITY,Enfinity,Organization,Founded in 2005, Enfinity has rapidly grown into one of the worlds largest and most experienced solar PV development companies; they are,,,,,0,0,
Englishtown,EF Englishtown,Organization,World's #1 Online English School,1997-01-01,7,5000,1001,0,0,3000
Enrich,Enrich,Organization,,,,,,0,0,
Ensemble,Ensemble,Organization,Discover, support and engage with meaningful causes.,2014-07-05,7,10,1,0,0,1
Entrust,Entrust,Organization,Entrust offers identity-based security software and services in public key infrastructure (PKI), fraud detection, and mobile authentication.,1994-01-01,4,500,251,0,0,400
Epcos,EPCOS,Organization,Manufactures passive components including EMC, ferrites, ceramic, capacitors, non-linear resistors, surge arresters and surface acoustic,,,,,0,0,
EPIC,Epic!,Organization,Epic! opens the doors to a new world of reading for kids 12 and under by providing an unlimited selection of eBooks that can be instantly,2013-01-01,7,,,1400000,0,7
Epic,Epic!,Organization,Epic! opens the doors to a new world of reading for kids 12 and under by providing an unlimited selection of eBooks that can be instantly,2013-01-01,7,,,1400000,0,7
Epicor,Epicor Software,Organization,Epicor Software provides business software solutions to the manufacturing, distribution, retail, hospitality and services industries.,,,,,0,1,
EPS,EPS,Organization,EPS Corp. provides energy efficiency software that provides accurate and measurable energy usage data for plant and executive management.,,,,,20000000,0,
Epsilon,Epsilon,Organization,Epsilon is an all-encompassing global marketing company, a leader in creating connections between people and brands.,1969-01-01,4,10000,5001,0,0,3500
Epson,Epson America,Organization,Epson America, Inc. designs, manufactures, and sells image capture and image output products for consumer, business, photography, and,1975-01-01,4,,,0,0,
EPSON,Epson America,Organization,Epson America, Inc. designs, manufactures, and sells image capture and image output products for consumer, business, photography, and,1975-01-01,4,,,0,0,
Equinix,Equinix,Organization,Equinix provides carrier-neutral interconnection data center and global colocation services.,1998-01-01,4,5000,1001,0,0,1900
equinox,Equinox,Organization,,,,,,0,0,
ERA,Era,Organization,Era Systems Corporation, a wholly owned SRA subsidiary, equips military and civilian aviation industries with next-generation solutions,,,,,0,0,
ERI,ERI,Organization,,,,,,0,0,
Erickson,Erickson,Organization,Erickson is specialize in the operation and manufacture of the Erickson.,1971-01-01,4,,,0,0,
Ericsson,Ericsson,Organization,Ericsson is a technology company that provides and operates telecommunications networks, television and video systems, and related services.,1876-01-01,4,,,0,5,80000
ericsson,Ericsson,Organization,Ericsson is a technology company that provides and operates telecommunications networks, television and video systems, and related services.,1876-01-01,4,,,0,5,80000
ESPN,ESPN,Organization,ESPN is a leading multinational and multimedia sports entertainment company.,1979-09-07,7,None,None,0,2,7000
Esri,Esri,Organization,Esri offers geographic information system software, web GIS, and geodatabase management applications.,1969-01-01,7,None,None,0,0,2900
Essilor,Essilor,Organization,Medical equipment,1972-01-01,4,1000000,10001,0,0,
eTelecare,eTelecare,Organization,Business process outsourcing (BPO),,,,,0,0,
Etelecare,eTelecare,Organization,Business process outsourcing (BPO),,,,,0,0,
Etre,Etre,Organization,We design, manage and deliver profitable user experiences.,,,None,None,0,0,
ETSI,ETSI,Organization,ETSI is a non-profit organization that produces globally-applicable standards for information and communications technologies.,1988-01-01,4,None,None,0,0,
